Wavenumber	Control30_1	Control30_2	Control30_3	Control30_4	Control30_5	Control30_6	Control30_7	Control30_8	Control30_9	Control30_10	Control30_11	Control30_12	Control30_13	BacVan30 Amid_1	BacVan30 Amid_2	BacVan30 Amid_3	BacVan30 Amid_4	BacVan30 Amid_5	BacVan30 Amid_6	BacVan30 Amid_7	BacVan30 Amid_8	BacVan30 Amid_9	BacVan30 Amid_10	BacVan30 Amid_11	BacVan30 Amid_12	BacVan30 Amid_13	BacVan30 Amid_14	BacVan30 Amid_15	BacVan30 Amid_16	BacVan30 Amid_17	BacVan30 Amid_18	BacVan30 Amid_19	BacVan30 Amid_20	BacVan30 Amid_21	BacVan30 Amid_22	BacVan30 Amid_23	BacVan30 Amid_24	BacVan30 Amid_25	BacVan30 Amid_26	BacVan30 Amid_27	BacVan30 Amid_28	BacVan30 Amid_29	BacVan30 Amid_30	BacVan30 Amid_31	BacVan30 Amid_32	BacVan30 Zucker_1	BacVan30 Zucker_2	BacVan30 Zucker_3	BacVan30 Zucker_5	BacVan30 Zucker_6	BacVan30 Zucker_7	BacVan30 Zucker_8	BacVan30 Zucker_9	BacVan30 Zucker_10	BacVan30 Zucker_11	BacVan30 Zucker_12	BacVan30 Zucker_13	BacVan30 Zucker_14	BacVan30 Zucker_15	BacVan30 Zucker_16	BacVan30 Zucker_17	BacVan30 Zucker_18	BacVan30 Zucker_19	BacVan30 Zucker_20
1645	5.625367144	4.853945784	5.589908387	5.508466806	5.422482853	4.817942786	4.869982001	4.933616101	4.718190082	4.898286896	5.018077045	4.95327109	4.721040221	4.785997	5.060666	5.071609	4.567761	5.377575	5.062455	5.385566	5.424577	4.824744	5.177033	4.745924	5.208867	4.576205	4.141238	5.291184	5.050082	4.605356	5.190296	5.487366	5.211052	4.828194	4.923350	5.275530	4.708122	4.521707	4.614335	4.364447	4.289077	4.614190	4.559915	3.995892	4.648656	2.863448	4.495136	4.759700	3.649758	3.564356	4.386364	4.710648	3.633514	3.099011	4.010694	4.618161	3.189552	3.904268	4.558086	4.169207	4.823045	4.327420	4.571495	4.128168
1646	5.705839265	4.88387262	5.799867382	5.590240289	5.763627644	4.825091665	4.893420258	4.929400642	4.624332718	4.852438615	5.198537871	4.78697908	4.90568829	4.729971	4.822500	5.029244	4.422757	5.208145	4.785565	5.072262	4.836282	4.817174	5.470630	4.639438	5.032365	4.671710	3.968424	4.753356	4.607602	4.493389	5.219862	4.976667	5.020978	4.579344	4.839324	5.266107	4.618951	4.297274	4.449717	4.235674	4.111580	3.985240	4.365025	4.027772	4.296370	3.065357	4.276295	4.821311	3.577247	3.435588	4.390210	4.071939	3.671472	3.040153	3.888438	4.503745	3.147899	3.840704	4.279405	4.467985	4.571333	3.972008	4.377613	3.753972
1647	5.638197265	4.676178651	5.761589258	5.473656151	5.837847144	4.802149552	4.699568263	4.745728776	4.676540539	4.318273829	5.074461456	4.487295011	4.916625436	4.829881	4.654653	5.085637	4.470443	5.100238	4.756069	5.296933	4.488033	5.015571	5.532314	4.730952	5.027044	5.046692	3.851206	5.108114	4.637212	4.740994	5.306984	4.622206	5.009347	4.534455	4.661183	5.271367	4.441873	4.250422	4.517629	4.268881	3.859492	3.806069	4.012828	3.966497	4.135622	3.116228	4.151088	4.809795	3.560862	3.543696	4.753423	3.915369	3.793011	2.950738	3.680234	4.579504	3.253143	3.863422	4.255798	4.381006	4.562113	4.048695	4.583854	3.478890
1648	5.729689156	4.80516007	5.819683695	5.652513767	6.06924865	4.829027245	4.855901295	4.946335367	4.880877485	4.529699484	5.167084882	4.601145136	5.035909329	4.715835	4.445295	4.921411	4.352665	5.069345	4.920258	5.080379	4.247137	4.853157	5.444607	4.551961	5.036264	4.952745	3.671759	5.017558	4.602092	4.646101	5.153879	4.358916	4.796795	4.396749	4.513732	5.196672	4.361080	4.155307	4.449919	4.163600	3.732977	3.946987	3.994020	3.887255	4.174972	3.101539	4.048674	4.602795	3.453407	3.574816	4.586508	3.753802	3.655273	2.886062	3.692746	4.430913	3.193550	3.701388	4.124183	4.353363	4.501961	3.916751	4.460364	3.680902
1649	5.469743177	4.641773737	5.530141435	5.500420431	5.828034736	4.675587902	4.87429499	4.970916005	4.632079296	4.688333979	5.060035038	5.054752865	4.706465202	4.943950	4.674155	5.034595	4.546558	5.265045	5.030791	5.005005	5.140476	4.976066	5.233881	4.685396	4.968908	4.983343	4.105325	4.742874	4.839572	4.684418	5.177999	5.257912	5.360175	4.706779	4.962184	5.466583	4.610000	4.328511	4.748702	4.208433	4.371090	3.911916	4.637675	3.912586	4.303066	2.895224	4.365538	6.272355	3.663553	3.660682	4.401916	4.215666	3.751177	3.191746	5.104604	4.467401	3.152980	3.962277	4.319067	4.667548	4.815949	4.150174	4.588261	3.791107
1650	5.725953433	5.028235338	5.852143154	5.630551565	5.772212527	4.989531937	5.106223813	5.004366858	4.997780621	5.151268555	5.211890187	5.433857011	5.191678119	4.354119	4.593198	4.604480	4.158121	4.888570	4.294316	4.829225	5.107672	4.372389	4.736531	4.291310	4.389724	4.146220	3.915572	4.802918	4.576135	4.081838	4.701367	4.944097	4.600289	4.413127	4.613897	4.590087	4.427708	4.014938	4.233488	3.922955	4.002526	4.293922	4.183094	3.536663	4.233039	2.593504	4.006819	4.342843	3.276783	3.100486	3.995554	4.136706	3.336581	2.649978	3.588264	4.154827	2.944036	3.463760	3.905969	3.813898	4.287036	3.726867	4.102226	4.014092
1651	5.659022018	4.923926877	5.667406737	5.65190851	5.700050681	4.833085202	5.012576796	4.921127953	4.70604283	5.165006851	5.139580373	5.156489173	5.024362334	4.536008	4.864535	4.823362	4.410046	5.056526	4.885565	5.131035	5.386971	4.607967	4.848557	4.541328	4.575954	4.429217	4.021380	4.939678	4.944050	4.325927	4.918941	5.262876	4.889063	4.573728	4.729314	4.955816	4.480659	4.256604	4.491589	4.029166	4.084231	4.446351	4.338249	3.691736	4.383599	2.721145	4.300076	4.596650	3.421216	3.160069	4.240484	4.475521	3.563969	2.680054	3.656233	4.272876	3.013895	3.720051	4.274338	4.278438	4.452237	3.969736	4.235511	3.899919
1652	5.860880734	4.834504728	5.802133592	5.597666378	5.716824133	4.780176984	5.071073774	5.03255241	4.631245319	4.947199629	5.001798267	5.069885803	4.928959892	4.947987	4.908720	5.121097	4.525285	5.326424	5.107944	5.300787	5.073217	4.963521	5.167056	4.776313	4.974032	4.885113	4.138545	4.986593	4.991964	4.594527	5.145015	5.352904	5.190611	4.670186	5.069166	5.258764	4.773623	4.464128	4.649704	4.211071	4.221011	4.666603	4.675578	3.847628	4.661937	2.986741	4.480030	4.950512	3.622987	3.460327	4.504360	4.495420	3.763752	2.947123	3.886429	4.530795	3.218818	3.951280	4.423193	4.710101	4.817009	4.119334	4.404536	4.123953
1653	5.876629028	4.946415698	5.849272953	5.642165122	6.009938812	4.875706978	5.088458656	5.160025812	4.777369109	4.891988433	5.21957865	5.360809473	5.085411376	5.037732	4.842242	5.135190	4.615964	5.318000	5.164818	5.229735	4.864833	5.001173	5.477066	4.780785	4.977982	5.030395	4.129874	5.015192	5.032270	4.666263	5.168146	5.205690	5.268470	4.642022	4.975846	5.423163	4.692440	4.431957	4.642848	4.359932	4.290034	4.149135	4.616910	3.931193	4.591506	2.928077	4.487536	5.041965	3.594692	3.479899	4.587424	4.282169	3.660037	3.073773	3.944196	4.439256	3.228711	3.940155	4.479204	4.718354	4.778984	4.173303	4.443472	4.092408
1654	5.861928618	4.873240938	5.834872047	5.602063711	5.958864424	4.880757578	4.934388973	5.198167611	4.885626001	4.847602741	5.217027074	5.160218466	5.013266683	4.846960	4.633799	5.058204	4.453903	5.159525	4.925301	4.840001	4.796803	4.925302	5.187111	4.669182	4.891484	4.843096	4.049073	4.574316	4.719892	4.504741	4.915580	5.151533	5.079806	4.449117	4.862655	5.228348	4.557411	4.308213	4.545645	4.133544	4.009136	4.009165	4.299166	3.800187	4.384462	2.858561	4.275261	4.781609	3.449341	3.353436	4.605811	4.189296	3.618035	2.914351	3.870124	4.371135	3.038386	3.876497	4.327308	4.658609	4.662263	3.931354	4.378592	3.951892
